// This file was decompiled using VCSCM.ini published by GTAMods.com on 2019-10-19
DEFINE OBJECTS 205
DEFINE OBJECT (noname)                
DEFINE OBJECT DTN_STADDOORA            // Object number -1
else_jump @SHOP4_988 
if 
00F5:   player $PLAYER_CHAR 0 -1192.2 -323.7 11.1 radius 8.0 8.0 6.0 
else_jump @SHOP4_981 
SHOP5_1010() 

:SHOP4_981
jump @SHOP4_995 

:SHOP4_988
Player.SetMinWantedLevel($PLAYER_CHAR, 1)

:SHOP4_995
jump @SHOP4_1027 

:SHOP4_1002
if 
  $820 == 1 // $ == int 
else_jump @SHOP4_1027 
SHOP5_1854() 

:SHOP4_1027
jump @SHOP4_1041 

:SHOP4_1034
SHOP5_1854() 

:SHOP4_1041
jump @SHOP4_10 

:SHOP5
thread 'SHOP5' 

:SHOP5_10
wait 0 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @SHOP5_996 
if 
  $345 == 1 // $ == int 
else_jump @SHOP5_989 
if 
00F5:   player $PLAYER_CHAR 0 352.7 1111.3 24.5 radius 30.0 30.0 15.0 
else_jump @SHOP5_326 
if 
  $802 == 0 // $ == int 
else_jump @SHOP5_213 
SHOP5_1792() 
0084: $816 = $291 // $ = $ int 
0060: $816 -= $799 // $ -= $ int 
if 
  $816 > 60000 // $ > int 
else_jump @SHOP5_199 
$817 = Actor.Create(CivMale, #SPECIAL16, 352.7, 1111.3, 24.5)
Actor.Angle($817) = 290.0
SHOP5_2200() 

:SHOP5_199
$802 = 1 // $ = int 
jump @SHOP5_319 

:SHOP5_213
if 
  $816 > 60000 // $ > int 
else_jump @SHOP5_319 
if 
   not Actor.Dead($817)
else_jump @SHOP5_312 
if 
00F5:   player $PLAYER_CHAR 0 352.7 1111.3 24.5 radius 8.0 8.0 6.0 
else_jump @SHOP5_305 
SHOP5_1010() 

:SHOP5_305
jump @SHOP5_319 

:SHOP5_312
Player.SetMinWantedLevel($PLAYER_CHAR, 1)

:SHOP5_319
jump @SHOP5_351 

:SHOP5_326
if 
  $802 == 1 // $ == int 
else_jump @SHOP5_351 
SHOP5_1854() 

:SHOP5_351
if 
   Player.Defined($PLAYER_CHAR)
else_jump @SHOP5_670 
if 
00F5:   player $PLAYER_CHAR 0 423.5 1039.4 18.1 radius 30.0 30.0 15.0 
else_jump @SHOP5_645 
if 
  $818 == 0 // $ == int 
else_jump @SHOP5_532 
SHOP5_1792() 
0084: $819 = $291 // $ = $ int 
0060: $819 -= $800 // $ -= $ int 
if 
  $819 > 60000 // $ > int 
else_jump @SHOP5_518 
$817 = Actor.Create(CivMale, #SPECIAL16, 423.5, 1039.4, 18.1)
Actor.Angle($817) = 136.0
SHOP5_2200() 

:SHOP5_518
$818 = 1 // $ = int 
jump @SHOP5_638 

:SHOP5_532
if 
  $819 > 60000 // $ > int 
else_jump @SHOP5_638 
if 
   not Actor.Dead($817)
else_jump @SHOP5_631 
if 
00F5:   player $PLAYER_CHAR 0 423.5 1039.4 18.1 radius 8.0 8.0 6.0 
else_jump @SHOP5_624 
SHOP5_1010() 

:SHOP5_624
jump @SHOP5_638 

:SHOP5_631
Player.SetMinWantedLevel($PLAYER_CHAR, 1)

:SHOP5_638
jump @SHOP5_670 

:SHOP5_645
if 
  $818 == 1 // $ == int 
else_jump @SHOP5_670 
SHOP5_1854() 

:SHOP5_670
if 
   Player.Defined($PLAYER_CHAR)
else_jump @SHOP5_989 
if 
00F5:   player $PLAYER_CHAR 0 468.7 1206.6 19.0 radius 30.0 30.0 15.0 
else_jump @SHOP5_964 
if 
  $820 == 0 // $ == int 
else_jump @SHOP5_851 
SHOP5_1792() 
0084: $821 = $291 // $ = $ int 
0060: $821 -= $801 // $ -= $ int 
if 
  $821 > 60000 // $ > int 
else_jump @SHOP5_837 
$817 = Actor.Create(CivMale, #SPECIAL16, 468.7, 1206.6, 19.0)
Actor.Angle($817) = 90.0
SHOP5_2200() 

:SHOP5_837
$820 = 1 // $ = int 
jump @SHOP5_957 

:SHOP5_851
if 
  $821 > 60000 // $ > int 
else_jump @SHOP5_957 
if 
   not Actor.Dead($817)
else_jump @SHOP5_950 
if 
00F5:   player $PLAYER_CHAR 0 468.7 1206.6 19.0 radius 8.0 8.0 6.0 
else_jump @SHOP5_943 
SHOP5_1010() 

:SHOP5_943
jump @SHOP5_957 

:SHOP5_950
Player.SetMinWantedLevel($PLAYER_CHAR, 1)

:SHOP5_957
jump @SHOP5_989 

:SHOP5_964
if 
  $820 == 1 // $ == int 
else_jump @SHOP5_989 
SHOP5_1854() 

:SHOP5_989
jump @SHOP5_1003 

:SHOP5_996
SHOP5_1854() 

:SHOP5_1003
jump @SHOP5_10 

:SHOP5_1010
if 
   not Actor.Dead($817)
else_jump @SHOP5_1790 
if 
0457:   player $PLAYER_CHAR aiming_at_actor $817 
else_jump @SHOP5_1636 
if 
  $803 == 0 // $ == int 
else_jump @SHOP5_1167 
022F: set_actor $817 stop_looking 
if 
   not Actor.Dead($817)
else_jump @SHOP5_1146 
04EB: actor $817 crouch 0 9999999 ms 
0372: set_actor $817 anim 0 wait_state_time 0 ms 
0372: set_actor $817 anim 17 wait_state_time 9999999 ms 
04C4: create_coordinate $325 $326 $327 from_actor $817 offset 0.0 1.2 0.0 

:SHOP5_1146
TIMERA = 0 // @ = int 
$803 = 1 // $ = int 
jump @SHOP5_1599 

:SHOP5_1167
if 
  $380 == 0 // $ == int 
else_jump @SHOP5_1599 
if and
  TIMERA > 2000 // @ > int 
  6000 > TIMERA // int > @ 
else_jump @SHOP5_1283 
if 
  $372 == 0 // $ == int 
else_jump @SHOP5_1283 
$327 += 0.15 // $ += float 
02E1: $373 = create_cash_pickup 50 at $325 $326 $327 
018C: play_sound 13 at $325 $326 $327 
SHOP5_2245() 
$372 = 1 // $ = int 

:SHOP5_1283
if and
  TIMERA > 6000 // @ > int 
  10000 > TIMERA // int > @ 
else_jump @SHOP5_1391 
if 
  $374 == 0 // $ == int 
else_jump @SHOP5_1391 
$326 += 0.1 // $ += float 
$325 += 0.1 // $ += float 
02E1: $375 = create_cash_pickup 100 at $325 $326 $327 
018C: play_sound 13 at $325 $326 $327 
Player.SetMinWantedLevel($PLAYER_CHAR, 1)
$374 = 1 // $ = int 

:SHOP5_1391
if and
  TIMERA > 10000 // @ > int 
  14000 > TIMERA // int > @ 
else_jump @SHOP5_1490 
if 
  $376 == 0 // $ == int 
else_jump @SHOP5_1490 
$326 += 0.1 // $ += float 
02E1: $377 = create_cash_pickup 250 at $325 $326 $327 
018C: play_sound 13 at $325 $326 $327 
Player.SetMinWantedLevel($PLAYER_CHAR, 2)
$376 = 1 // $ = int 

:SHOP5_1490
if and
  TIMERA > 14000 // @ > int 
  20000 > TIMERA // int > @ 
else_jump @SHOP5_1599 
if 
  $378 == 0 // $ == int 
else_jump @SHOP5_1599 
$326 += 0.1 // $ += float 
$325 += 0.1 // $ += float 
02E1: $379 = create_cash_pickup 600 at $325 $326 $327 
018C: play_sound 13 at $325 $326 $327 
Player.SetMinWantedLevel($PLAYER_CHAR, 3)
$378 = 1 // $ = int 

:SHOP5_1599
if or
02DF:   player $PLAYER_CHAR aggressive 
031D:   actor $817 hit_by_weapon 47 
else_jump @SHOP5_1629 
jump @SHOP5_1636 

:SHOP5_1629
jump @SHOP5_1790 

:SHOP5_1636
if 
  $803 == 0 // $ == int 
else_jump @SHOP5_1691 
if or
02DF:   player $PLAYER_CHAR aggressive 
031D:   actor $817 hit_by_weapon 47 
else_jump @SHOP5_1684 
$803 = 1 // $ = int 

:SHOP5_1684
jump @SHOP5_1790 

:SHOP5_1691
if 
   not Actor.Dead($817)
else_jump @SHOP5_1790 
0372: set_actor $817 anim 0 wait_state_time 0 ms 
04EB: actor $817 crouch 1 9999999 ms 
if 
  $380 == 0 // $ == int 
else_jump @SHOP5_1790 
Actor.StorePos($817, $325, $326, $327)
018D: $324 = create_sound 0 at $325 $326 $327 
Player.SetMinWantedLevel($PLAYER_CHAR, 2)
$380 = 1 // $ = int 

:SHOP5_1790
return 

:SHOP5_1792
023C: load_special_actor 16 'S_KEEP' 

:SHOP5_1804
if 
823D:   not special_actor 16 loaded 
else_jump @SHOP5_1842 
wait 0 
023C: load_special_actor 16 'S_KEEP' 
jump @SHOP5_1804 

:SHOP5_1842
01BD: $291 = current_time_in_ms 
Actor.DestroyInstantly($817)
return 

:SHOP5_1854
if 
  $802 == 1 // $ == int 
else_jump @SHOP5_1921 
if or
   Actor.Dead($817)
  $803 == 1 // $ == int 
else_jump @SHOP5_1921 
if 
  $816 > 60000 // $ > int 
else_jump @SHOP5_1921 
01BD: $799 = current_time_in_ms 

:SHOP5_1921
if 
  $818 == 1 // $ == int 
else_jump @SHOP5_1988 
if or
   Actor.Dead($817)
  $803 == 1 // $ == int 
else_jump @SHOP5_1988 
if 
  $819 > 60000 // $ > int 
else_jump @SHOP5_1988 
01BD: $800 = current_time_in_ms 

:SHOP5_1988
if 
  $820 == 1 // $ == int 
else_jump @SHOP5_2055 
if or
   Actor.Dead($817)
  $803 == 1 // $ == int 
else_jump @SHOP5_2055 
if 
  $821 > 60000 // $ > int 
else_jump @SHOP5_2055 
01BD: $801 = current_time_in_ms 

:SHOP5_2055
$802 = 0 // $ = int 
$818 = 0 // $ = int 
$820 = 0 // $ = int 
$803 = 0 // $ = int 
$380 = 0 // $ = int 
$372 = 0 // $ = int 
$374 = 0 // $ = int 
$376 = 0 // $ = int 
$378 = 0 // $ = int 
Pickup.Destroy($373)
Pickup.Destroy($375)
Pickup.Destroy($377)
Pickup.Destroy($379)
0296: unload_special_actor 16 
Actor.DestroyInstantly($817)
018E: stop_sound $324 
if 
   not Player.Defined($PLAYER_CHAR)
else_jump @SHOP5_2198 
$799 = -60000 // $ = int 
$800 = -60000 // $ = int 
$801 = -60000 // $ = int 

:SHOP5_2198
return 

:SHOP5_2200
0243: set_actor $817 ped_stats_to 16 
01ED: clear_actor $817 threat_search 
0350: set_actor $817 maintain_position_when_attacked 1 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @SHOP5_2243 
022D: set_actor $817 to_look_at_player $PLAYER_CHAR 

:SHOP5_2243
return 

:SHOP5_2245
if and
00F5:   player $PLAYER_CHAR 0 -859.2 -632.7 10.6 radius 30.0 30.0 30.0 
  $804 == 0 // $ == int 
else_jump @SHOP5_2318 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$804 = 1 // $ = int 

:SHOP5_2318
if and
00F5:   player $PLAYER_CHAR 0 -854.3 850.0 10.6 radius 30.0 30.0 30.0 
  $805 == 0 // $ == int 
else_jump @SHOP5_2391 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$805 = 1 // $ = int 

:SHOP5_2391
if and
00F5:   player $PLAYER_CHAR 0 -830.4 741.9 10.6 radius 30.0 30.0 30.0 
  $806 == 0 // $ == int 
else_jump @SHOP5_2464 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$806 = 1 // $ = int 

:SHOP5_2464
if and
00F5:   player $PLAYER_CHAR 0 -846.6 -72.6 10.8 radius 30.0 30.0 30.0 
  $807 == 0 // $ == int 
else_jump @SHOP5_2537 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$807 = 1 // $ = int 

:SHOP5_2537
if and
00F5:   player $PLAYER_CHAR 0 379.9 210.2 10.6 radius 30.0 30.0 30.0 
  $808 == 0 // $ == int 
else_jump @SHOP5_2610 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$808 = 1 // $ = int 

:SHOP5_2610
if and
00F5:   player $PLAYER_CHAR 0 383.2 759.7 11.0 radius 30.0 30.0 30.0 
  $809 == 0 // $ == int 
else_jump @SHOP5_2683 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$809 = 1 // $ = int 

:SHOP5_2683
if and
00F5:   player $PLAYER_CHAR 0 449.7 781.5 12.2 radius 30.0 30.0 30.0 
  $810 == 0 // $ == int 
else_jump @SHOP5_2756 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$810 = 1 // $ = int 

:SHOP5_2756
if and
00F5:   player $PLAYER_CHAR 0 352.7 1111.3 24.5 radius 30.0 30.0 15.0 
  $811 == 0 // $ == int 
else_jump @SHOP5_2829 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$811 = 1 // $ = int 

:SHOP5_2829
if and
00F5:   player $PLAYER_CHAR 0 423.5 1039.4 18.1 radius 30.0 30.0 15.0 
  $812 == 0 // $ == int 
else_jump @SHOP5_2902 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$812 = 1 // $ = int 

:SHOP5_2902
if and
00F5:   player $PLAYER_CHAR 0 468.7 1206.6 18.2 radius 30.0 30.0 15.0 
  $813 == 0 // $ == int 
else_jump @SHOP5_2975 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$813 = 1 // $ = int 

:SHOP5_2975
if and
00F5:   player $PLAYER_CHAR 0 -1167.5 -613.5 11.0 radius 30.0 30.0 30.0 
  $814 == 0 // $ == int 
else_jump @SHOP5_3048 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$814 = 1 // $ = int 

:SHOP5_3048
if and
00F5:   player $PLAYER_CHAR 0 -1192.2 -323.7 11.1 radius 30.0 30.0 30.0 
  $815 == 0 // $ == int 
else_jump @SHOP5_3121 
0531: increment_stores_knocked_off_by 1 
$388 += 1 // $ += int 
$815 = 1 // $ = int 

:SHOP5_3121
return 

:AUDIO
thread 'AUDIO' 
set_wb_check_to 0 
create_thread @AUDIO1 
end_thread 

:AUDIO1
thread 'AUDIO1' 
$822 = 0 // $ = int 
$823 = 0 // $ = int 
$824 = 0 // $ = int 
$825 = 0 // $ = int 
$826 = 0 // $ = int 
$827 = 0 // $ = int 
$828 = 0 // $ = int 
$829 = 0 // $ = int 
$830 = 0 // $ = int 
$831 = 0 // $ = int 
$832 = 0 // $ = int 
$833 = 0 // $ = int 

:AUDIO1_94
wait 500 
00BF: $834 = current_time_hours, $835 = current_time_minutes 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @AUDIO1_1790 
if 
0121:   player $PLAYER_CHAR in_zone 'DTOWN'  // Downtown
else_jump @AUDIO1_403 
if 
  $836 == 0 // $ == int 
else_jump @AUDIO1_212 
if 
  $822 == 0 // $ == int 
else_jump @AUDIO1_212 
018D: $837 = create_sound 36 at -596.018 640.916 12.0 
$822 = 1 // $ = int 

:AUDIO1_212
if 
  $836 == 1 // $ == int 
else_jump @AUDIO1_295 
if 
  $838 == 0 // $ == int 
else_jump @AUDIO1_295 
if 
  $823 == 0 // $ == int 
else_jump @AUDIO1_295 
018D: $839 = create_sound 37 at -596.018 640.916 12.0 
$823 = 1 // $ = int 

:AUDIO1_295
if 
  $836 == 1 // $ == int 
else_jump @AUDIO1_396 
if 
  $838 == 1 // $ == int 
else_jump @AUDIO1_396 
if 
  $840 == 0 // $ == int 
else_jump @AUDIO1_396 
if 
  $824 == 0 // $ == int 
else_jump @AUDIO1_396 
018D: $841 = create_sound 38 at -596.018 640.916 12.0 
$824 = 1 // $ = int 

:AUDIO1_396
jump @AUDIO1_493 

:AUDIO1_403
if 
  $822 == 1 // $ == int 
else_jump @AUDIO1_433 
018E: stop_sound $837 
$822 = 0 // $ = int 

:AUDIO1_433
if 
  $823 == 1 // $ == int 
else_jump @AUDIO1_463 
018E: stop_sound $839 
$823 = 0 // $ = int 

:AUDIO1_463
if 
  $824 == 1 // $ == int 
else_jump @AUDIO1_493 
018E: stop_sound $841 
$824 = 0 // $ = int 

:AUDIO1_493
if 
0121:   player $PLAYER_CHAR in_zone 'BEACH3'  // Vice Point
else_jump @AUDIO1_893 
if or
  $834 >= 23 // $ >= int 
  7 > $834 // int > $ 
else_jump @AUDIO1_610 
if and
  $825 == 0 // $ == int 
  $826 == 0 // $ == int 
  $827 == 0 // $ == int 
else_jump @AUDIO1_603 
018D: $842 = create_sound 40 at 494.652 -83.347 10.032 
$825 = 1 // $ = int 

:AUDIO1_603
jump @AUDIO1_640 

:AUDIO1_610
if 
  $825 == 1 // $ == int 
else_jump @AUDIO1_640 
018E: stop_sound $842 
$825 = 0 // $ = int 

:AUDIO1_640
if and
  $834 >= 7 // $ >= int 
  15 > $834 // int > $ 
else_jump @AUDIO1_733 
if and
  $826 == 0 // $ == int 
  $825 == 0 // $ == int 
  $827 == 0 // $ == int 
else_jump @AUDIO1_726 
018D: $843 = create_sound 41 at 494.652 -83.347 10.032 
$826 = 1 // $ = int 

:AUDIO1_726
jump @AUDIO1_763 

:AUDIO1_733
if 
  $826 == 1 // $ == int 
else_jump @AUDIO1_763 
018E: stop_sound $843 
$826 = 0 // $ = int 

:AUDIO1_763
if and
  $834 >= 15 // $ >= int 
  23 > $834 // int > $ 
else_jump @AUDIO1_856 
if and
  $827 == 0 // $ == int 
  $825 == 0 // $ == int 
  $826 == 0 // $ == int 
else_jump @AUDIO1_849 
018D: $844 = create_sound 42 at 494.652 -83.347 10.032 
$827 = 1 // $ = int 

:AUDIO1_849
jump @AUDIO1_886 

:AUDIO1_856
if 
  $827 == 1 // $ == int 
else_jump @AUDIO1_886 
018E: stop_sound $844 
$827 = 0 // $ = int 

:AUDIO1_886
jump @AUDIO1_983 

:AUDIO1_893
if 
  $825 == 1 // $ == int 
else_jump @AUDIO1_923 
018E: stop_sound $842 
$825 = 0 // $ = int 

:AUDIO1_923
if 
  $826 == 1 // $ == int 
else_jump @AUDIO1_953 
018E: stop_sound $843 
$826 = 0 // $ = int 

:AUDIO1_953
if 
  $827 == 1 // $ == int 
else_jump @AUDIO1_983 
018E: stop_sound $844 
$827 = 0 // $ = int 

:AUDIO1_983
if 
0121:   player $PLAYER_CHAR in_zone 'BEACH1'  // Ocean Beach
else_jump @AUDIO1_1532 
if or
  $834 >= 23 // $ >= int 
  7 > $834 // int > $ 
else_jump @AUDIO1_1100 
if and
  $828 == 0 // $ == int 
  $829 == 0 // $ == int 
  $830 == 0 // $ == int 
else_jump @AUDIO1_1093 
018D: $845 = create_sound 43 at 87.738 -1456.117 11.0 
$828 = 1 // $ = int 

:AUDIO1_1093
jump @AUDIO1_1130 

:AUDIO1_1100
if 
  $828 == 1 // $ == int 
else_jump @AUDIO1_1130 
018E: stop_sound $845 
$828 = 0 // $ = int 

:AUDIO1_1130
if and
  $834 >= 7 // $ >= int 
  15 > $834 // int > $ 
else_jump @AUDIO1_1223 
if and
  $829 == 0 // $ == int 
  $828 == 0 // $ == int 
  $830 == 0 // $ == int 
else_jump @AUDIO1_1216 
018D: $846 = create_sound 44 at 87.738 -1456.117 11.0 
$829 = 1 // $ = int 

:AUDIO1_1216
jump @AUDIO1_1253 

:AUDIO1_1223
if 
  $829 == 1 // $ == int 
else_jump @AUDIO1_1253 
018E: stop_sound $846 
$829 = 0 // $ = int 

:AUDIO1_1253
if and
  $834 >= 15 // $ >= int 
  23 > $834 // int > $ 
else_jump @AUDIO1_1346 
if and
  $830 == 0 // $ == int 
  $828 == 0 // $ == int 
  $829 == 0 // $ == int 
else_jump @AUDIO1_1339 
018D: $847 = create_sound 45 at 87.738 -1456.117 11.0 
$830 = 1 // $ = int 

:AUDIO1_1339
jump @AUDIO1_1376 

:AUDIO1_1346
if 
  $830 == 1 // $ == int 
else_jump @AUDIO1_1376 
018E: stop_sound $847 
$830 = 0 // $ = int 

:AUDIO1_1376
if 
  $834 == 10 // $ == int 
else_jump @AUDIO1_1448 
if 
  $831 == 0 // $ == int 
else_jump @AUDIO1_1441 
018D: $848 = create_sound 46 at -76.074 -1528.485 13.397 
$831 = 1 // $ = int 

:AUDIO1_1441
jump @AUDIO1_1478 

:AUDIO1_1448
if 
  $831 == 1 // $ == int 
else_jump @AUDIO1_1478 
018E: stop_sound $848 
$831 = 0 // $ = int 

:AUDIO1_1478
if 
  $832 == 0 // $ == int 
else_jump @AUDIO1_1525 
018D: $849 = create_sound 51 at -67.015 -1546.671 11.485 
$832 = 1 // $ = int 

:AUDIO1_1525
jump @AUDIO1_1682 

:AUDIO1_1532
if 
  $828 == 1 // $ == int 
else_jump @AUDIO1_1562 
018E: stop_sound $845 
$828 = 0 // $ = int 

:AUDIO1_1562
if 
  $829 == 1 // $ == int 
else_jump @AUDIO1_1592 
018E: stop_sound $846 
$829 = 0 // $ = int 

:AUDIO1_1592
if 
  $830 == 1 // $ == int 
else_jump @AUDIO1_1622 
018E: stop_sound $847 
$830 = 0 // $ = int 

:AUDIO1_1622
if 
  $831 == 1 // $ == int 
else_jump @AUDIO1_1652 
018E: stop_sound $848 
$831 = 0 // $ = int 

:AUDIO1_1652
if 
  $832 == 1 // $ == int 
else_jump @AUDIO1_1682 
018E: stop_sound $849 
$832 = 0 // $ = int 

:AUDIO1_1682
if 
0121:   player $PLAYER_CHAR in_zone 'PORNI'  // Prawn Island
else_jump @AUDIO1_1760 
if 
  $833 == 0 // $ == int 
else_jump @AUDIO1_1753 
018D: $850 = create_sound 51 at 9.637 1092.344 17.211 
$833 = 1 // $ = int 

:AUDIO1_1753
jump @AUDIO1_1790 

:AUDIO1_1760
if 
  $833 == 1 // $ == int 
else_jump @AUDIO1_1790 
018E: stop_sound $850 
$833 = 0 // $ = int 

:AUDIO1_1790
jump @AUDIO1_94 

:BOMM
thread 'BOMM' 
set_wb_check_to 0 

:BOMM_14
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BOMM_14 
if 
00DE:   player $PLAYER_CHAR driving_vehicle_type #SKIMMER 
else_jump @BOMM_14 
03C1: 0@ = player $PLAYER_CHAR car_no_save 

:BOMM_62
wait 50 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BOMM_62 
if 
00DE:   player $PLAYER_CHAR driving_vehicle_type #SKIMMER 
else_jump @BOMM_895 
if 
00E1:   player 0 pressed_button 17 
else_jump @BOMM_62 
Model.Load(#GASGRENADE)

:BOMM_123
wait 0 
if 
   Model.Available(#GASGRENADE)
else_jump @BOMM_123 
018C: play_sound 1 at 0.0 0.0 0.0 
0407: create_coordinate 1@ 2@ $851 from_car 0@ offset 0.0 3.0 -2.0 
02CE: $852 = ground_z 1@ 2@ $851 
0089: 3@ = $851 // @ = $ float 
0061: $851 -= $852 // $ -= $ float 
if 
  $851 > 5.0 // $ > float 
else_jump @BOMM_62 
5@ = Object.Create(#GASGRENADE, 1@, 2@, 3@)
Object.ToggleInMovingList(5@) = True
Object.CollisionDetection(5@) = True
$851 = Car.Angle(0@)
02F7: $853 = cosine $851 // float 
$853 *= 100.0 // $ *= float 
02F6: $854 = sine $851 // float 
$854 *= -100.0 // $ *= float 
Object.Throw(5@, $854, $853, -18.0)
Model.Destroy(#GASGRENADE)

:BOMM_338
wait 0 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BOMM_338 
0400: create_coordinate 1@ 2@ $851 from_object 5@ offset 0.0 0.0 -0.5 
if 
  $851 > 6.5 // $ > float 
else_jump @BOMM_558 
0437: scatter_particle 29 0.8 at 1@ 2@ $851 0.0 0.0 0.02 
0437: scatter_particle 23 1.5 at 1@ 2@ $851 0.0 0.0 0.02 
0437: scatter_particle 20 0.5 at 1@ 2@ $851 0.0 0.0 0.02 
02CE: $852 = ground_z 1@ 2@ $851 
0089: 3@ = $851 // @ = $ float 
0061: $851 -= $852 // $ -= $ float 
if 
  2.0 > $851 // float > $ 
else_jump @BOMM_338 

:BOMM_558
Object.Destroy(5@)
020C: create_explosion 2 at 1@ 2@ 3@ 
wait 250 
020C: create_explosion 0 at 1@ 2@ 3@ 
0565: create_temporary_explosion_fire 1@ 2@ 3@ type 2 
1@ += 8.0 // @ += float 
020C: create_explosion 0 at 1@ 2@ 3@ 
0565: create_temporary_explosion_fire 1@ 2@ 3@ type 2 
1@ += -16.0 // @ += float 
020C: create_explosion 0 at 1@ 2@ 3@ 
0565: create_temporary_explosion_fire 1@ 2@ 3@ type 2 
1@ += 8.0 // @ += float 
2@ += -8.0 // @ += float 
020C: create_explosion 0 at 1@ 2@ 3@ 
0565: create_temporary_explosion_fire 1@ 2@ 3@ type 2 
2@ += 16.0 // @ += float 
020C: create_explosion 0 at 1@ 2@ 3@ 
0565: create_temporary_explosion_fire 1@ 2@ 3@ type 2 
2@ += -8.0 // @ += float 
wait 250 
1@ += 4.0 // @ += float 
020C: create_explosion 0 at 1@ 2@ 3@ 
1@ += -8.0 // @ += float 
020C: create_explosion 0 at 1@ 2@ 3@ 
1@ += 4.0 // @ += float 
2@ += -4.0 // @ += float 
020C: create_explosion 0 at 1@ 2@ 3@ 
2@ += 8.0 // @ += float 
020C: create_explosion 0 at 1@ 2@ 3@ 
2@ += -4.0 // @ += float 
jump @BOMM_14 

:BOMM_895
Car.RemoveReferences(0@)
jump @BOMM_14 
end_thread 

:TMD
thread 'TMD' 
set_wb_check_to 0 
10@ = 0 // @ = int 

:TMD_21
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @TMD_21 
if 
00DE:   player $PLAYER_CHAR driving_vehicle_type #SKIMMER 
else_jump @TMD_365 
if 
  10@ == 0 // @ == int 
else_jump @TMD_104 
10@ = 1 // @ = int 
03C1: 1@ = player $PLAYER_CHAR car_no_save 
03E5: text_box 'BNK4_37'  // to fly press  ~h~~k~~TOGGLE_SUBMISSIONS~ ~w~. bombs -   ~h~~k~~PED_FIREWEAPON

:TMD_104
if 
00E1:   player 0 pressed_button 19 
else_jump @TMD_21 
02E3: 9@ = car 1@ speed 
if 
  4.0 > 9@ // float > @ 
else_jump @TMD_21 
018C: play_sound 1 at 0.0 0.0 0.0 
TIMERB = 100 // @ = int 

:TMD_176
wait 0 
0407: create_coordinate 6@ 7@ 8@ from_car 1@ offset 0.0 1.0 0.0 
0437: scatter_particle 23 0.6 at 6@ 7@ 8@ 0.0 0.0 0.0 
0437: scatter_particle 29 0.6 at 6@ 7@ 8@ 0.0 0.0 0.03 
0437: scatter_particle 45 0.6 at 6@ 7@ 8@ 0.0 0.0 -0.03 
if 
  550 > TIMERB // int > @ 
else_jump @TMD_21 
008A: $855 = TIMERB // $ = @ int 
$855 /= 10 // $ /= int 
008D: $856 = integer_to_float $855 
04BA: set_car 1@ speed_instantly $856 
jump @TMD_176 

:TMD_365
if 
  10@ == 1 // @ == int 
else_jump @TMD_21 
10@ = 0 // @ = int 
Car.RemoveReferences(1@)
jump @TMD_21 
end_thread 

:ARRM
thread 'ARRM' 
set_wb_check_to 0 
$857 = 0 // $ = int 
$858 = 0 // $ = int 
$859 = 0 // $ = int 
$860 = 0 // $ = int 

:ARRM_42
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @ARRM_42 
if 
0121:   player $PLAYER_CHAR in_zone 'BEACH3'  // Vice Point
else_jump @ARRM_1264 
if 
  $857 == 0 // $ == int 
else_jump @ARRM_317 
$857 = 1 // $ = int 
Model.Load(#MRWHOOP)
Model.Load(#BKA)

:ARRM_121
wait 0 
if and
   Model.Available(#MRWHOOP)
   Model.Available(#BKA)
else_jump @ARRM_121 

:ARRM_145
wait 0 
0208: 2@ = random_float 730.0 1500.0 
0208: 3@ = random_float -170.0 1150.0 
02C1: set 4@ 5@ 6@ to_car_path_coords_closest_to 2@ 3@ 20.0 
0054: store_player $PLAYER_CHAR position_to 7@ 8@ 9@ 
0509: 10@ = distance_between_point 7@ 8@ and_point 4@ 5@ 
if 
  10@ > 200.0 // @ > float 
else_jump @ARRM_145 
$861 = Car.Create(#MRWHOOP, 4@, 5@, 6@)
0129: $862 = create_actor 4 #BKA in_car $861 driverseat 
